Nome do Serviço,Valor do serviço,Gerenciar,tipo
"Perfil clínico 2 (Hemograma, PPT, Pesq de hematozoário, ALT, FAL, AST, Albumina, Ureia, Creatinina)","R$ 190,00",,clinica
Perfil dermatológico 3 (citol. de pele + citol. auricular + raspado),"R$ 190,00",,clinica
Perfil Dermatológico Simples 1 (Citologia Auricular e Raspado cutâneo),"R$ 100,00",,clinica
"Perfil Minerais (P, CA, I, K)","R$ 130,00",,clinica
Perfil Raspado cutâneo + Tricograma + Citologia de Pele,"R$ 42,00",,clinica
Piometra Cadela até 25 kg,"R$ 1.000,00",,clinica
Piometra Cadela até 5 kg,"R$ 700,00",,clinica
Procedimento de desobstrução uretral gato,"R$ 180,00",,clinica
Procedimento de limpeza de ouvido com trauma 20 kg a 30 kg,"R$ 300,00",,clinica
procedimento de ressuscitação com adrenalina,"R$ 90,00",,clinica
Procedimento Sutura (trauma perfurocortante),"R$ 280,00",,clinica
Proteínas totais e frações,"R$ 45,00",,clinica
Quimioterapia TVT,"R$ 220,00",,clinica
Raspado cutâneo em consulta,"R$ 60,00",,clinica
Relação Cratinina/Proteínas Urinária,"R$ 65,00",,clinica
Retirada de Nódulo Cão de 30 kg a 50 kg,"R$ 800,00",,clinica
Retirada de Pontos,"R$ 20,00",,clinica
Roupa cirúgica 1,"R$ 35,00",,clinica
Roupa cirúgica 10 e 11,"R$ 58,00",,clinica
Roupa cirúrgica 2,"R$ 40,00",,clinica
Roupa cirúrgica 3,"R$ 40,00",,clinica
Roupa cirúrgica 4,"R$ 45,00",,clinica
Roupa cirúrgica 5,"R$ 45,00",,clinica
Roupa cirúrgica 6,"R$ 50,00",,clinica
Sedação Cão até 15 kg,"R$ 110,00",,clinica
Sedação com Acepromazina + de 30 kg,"R$ 100,00",,clinica
Sedação Gato,"R$ 60,00",,clinica
Serviços Extras,"R$ 180,00",,clinica
Snap 4DX,"R$ 230,00",,clinica
Sorologia Leishmaniose (RIFI e ELISA),"R$ 200,00",,clinica
Teste Coronavirose/Parvovirose,"R$ 165,00",,clinica
Teste de Erliquiose,"R$ 110,00",,clinica
Teste FIV/FELV,"R$ 150,00",,clinica
Teste Rápido Cinomose Ag.,"R$ 120,00",,clinica
Teste Rápido Cinomose Vet Life,"R$ 150,00",,clinica
Teste Rápido Parvovirose,"R$ 120,00",,clinica
Transfusão Sanguínea,"R$ 500,00",,clinica
Tricograma,"R$ 60,00",,clinica
Ultrassonografia Dr. Mayara (Pagamento com ela),"R$ 180,00",,clinica
Ureia (Dosagem),"R$ 30,00",,clinica
Urinálise,"R$ 60,00",,clinica
Urinocultura co antibiograma,"R$ 195,00",,clinica
Vacina Antirrábica Nobivack,"R$ 50,00",,clinica
Vacina Feline V4,"R$ 100,00",,clinica
Vacina Feline V5,"R$ 120,00",,clinica
Vacina KC Tosse dos canis MSD,"R$ 110,00",,clinica
Vacina Nobivac Canine V8 MSD,"R$ 90,00",,clinica
Vacina Nobivac DHPPl-i MSD,"R$ 90,00",,clinica
Vacina Recombitek Max V10,"R$ 100,00",,clinica
Vermifugação Clínica Cão de 10 kg a 15 kg.,"R$ 35,00",,clinica
Vet-001 - Citologia de Nódulo/Oncológica,"R$ 55,00",,clinica
Vet-002 Citologia de Pele/Auricular,"R$ 20,00",,clinica
Vet-003 Citologia Nasal,"R$ 20,00",,clinica
Vet-004 Perfil Citologia Pele/Auricular + Raspado,"R$ 30,00",,clinica
Vet-005 Perfil Raspado cutâneo + tricograma,"R$ 25,00",,clinica
Vet-007 Citologia de Líquido Cavitário,"R$ 55,00",,clinica
Vet-008 Citologia de Líquido,"R$ 35,00",,clinica
Vet-009 Histopatológico 1 fragmento,"R$ 100,00",,clinica
Vet-10 Perfil Dermatológico (Raspado + Tricograma + Citologia Auricular),"R$ 48,00",,clinica
Vet-Raspado Cutâneo,"R$ 14,00",,clinica
